chunk_id,doc_id,chunk_text,effective_date,exported_at,reason,effective_date_normalized
1,hr_leave_policy,Nhân viên dưới 3 năm kinh nghiệm được 10 ngày phép năm (bản HR 2025).,,2026-04-06T00:00:00,missing_effective_date,
2,hr_leave_policy,Nhân viên dưới 3 năm kinh nghiệm được 10 ngày phép năm (bản HR 2025).,2025-05-08,2026-04-02T00:00:00,stale_hr_policy_effective_date,2025-05-08
3,invalid_doc_xzyxyx,Ticket P1 có SLA phản hồi ban đầu 15 phút và resolution trong 4 giờ. Chú ý: effective_date không đồng nhất giữa các nguồn.,2025-03-01,2026-04-03T00:00:00,unknown_doc_id,
6,hr_leave_policy,Nhân viên dưới 3 năm kinh nghiệm được 10 ngày phép năm (bản HR 2025).,2026-03-30,2026-04-10T00:00:00,stale_hr_version_marker,
7,security_policy,Người dùng phải bật xác thực hai yếu tố để truy cập hệ thống quản trị.,05/02/2025,2026-04-06T00:00:00,unknown_doc_id,
8,hr_leave_policy,Nhân viên dưới 3 năm kinh nghiệm được 10 ngày phép năm (bản HR 2025).,2025-03-07,2026-04-05T00:00:00,stale_hr_policy_effective_date,2025-03-07
9,hr_leave_policy,Nhân viên dưới 3 năm kinh nghiệm được 10 ngày phép năm (bản HR 2025).,2026-01-09,2026-04-11T00:00:00,stale_hr_version_marker,
10,policy_refund_v4,Yêu cầu được gửi trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,,2026-04-03T00:00:00,missing_effective_date,
12,data_privacy_guideline,Dữ liệu người dùng phải được mã hóa ở trạng thái nghỉ và đang truyền.,2025-01-18,2026-04-04T00:00:00,unknown_doc_id,
14,invalid_doc_xxzxyz,Yêu cầu được gửi trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,2025-08-16,2026-04-05T00:00:00,unknown_doc_id,
15,invalid_doc_yyzzxz,Dữ liệu người dùng phải được mã hóa ở trạng thái nghỉ và đang truyền.,2026-01-18,2026-04-03T00:00:00,unknown_doc_id,
16,data_privacy_guideline,Dữ liệu người dùng phải được mã hóa ở trạng thái nghỉ và đang truyền.,07/08/2025,2026-04-07T00:00:00,unknown_doc_id,
17,invalid_doc_zxxyxz,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,2026-02-21,2026-04-07T00:00:00,unknown_doc_id,
19,invalid_doc_yxzzzz,Chunk nội dung đủ dài để vượt ngưỡng expectation độ dài tối thiểu trong cleaned export.,2025-05-28,2026-04-04T00:00:00,unknown_doc_id,
20,hr_leave_policy,Nhân viên dưới 3 năm kinh nghiệm được 10 ngày phép năm (bản HR 2025).,2025-10-19,2026-04-09T00:00:00,stale_hr_policy_effective_date,2025-10-19
21,legacy_catalog_xyz_zzz,Chunk nội dung đủ dài để vượt ngưỡng expectation độ dài tối thiểu trong cleaned export.,2025-04-24,2026-04-10T00:00:00,unknown_doc_id,
22,hr_leave_policy,Nhân viên dưới 3 năm kinh nghiệm được 10 ngày phép năm (bản HR 2025).,2026-01-04,2026/04/11T00:00:00,stale_hr_version_marker,
23,sla_p1_2026,Ticket P1 có SLA phản hồi ban đầu 15 phút và resolution trong 4 giờ.,2025-09-18,2026-04-04T00:00:00,duplicate_chunk_text,
